TMA_PA_Manggarai (cm),C.H. Bogor (mm),C.H. Depok (mm),C.H. Manggarai (mm)
620,0.3,0.2,0.1
615,0,0.1,0.4
615,0.1,0.1,0.5
615,0.3,0.4,0.8
615,0.1,0.3,0.2
615,0,0.1,0.2
620,0,0.1,0.1
620,0,0,0.3
620,0.2,0,0.8
620,0.2,0.1,0.9
620,0.2,0.1,0.6
615,0,0,0.5
615,0,0.1,0.4
615,0.1,0,0.4
615,0.2,0.2,0.3
615,0.3,0.1,0.3
620,0.3,0.2,0.1
665,0.4,0.3,0.1
655,0.4,0.4,0.1
675,0.4,0.4,0.1
655,0.2,0.3,0.1
640,0.2,0.2,0.1
635,0.3,0.2,0.1
630,0.3,0.2,0.1
630,0.2,0.4,0.1
635,0.1,0,0.1
635,0,0,0
635,0,0,0
635,0,0,0
635,0,0,0
635,0,0,0.1
640,0.1,0,0.3
645,0.1,0,0.3
650,0.3,0,0.4
655,0.4,0.1,0.4
660,0.3,0.2,0.5
660,0.1,0,0.2
655,0,0,0.1
655,0,0,0.1
655,0.2,0.1,0.3
645,0.2,0.3,0.3
640,0.1,0.2,0.2
635,0.1,0.6,0.1
630,0.2,0.3,0.1
630,0.4,0.2,0.4
625,1.4,0.2,0.7
625,1.1,0.8,1.4
620,1.8,0.3,2.5
620,0.4,0.1,1.1
615,0.1,0,0.4
620,0.4,0,0.7
615,0,0,0.2
615,0,0.1,0.6
615,0,0.3,0.3
615,0,0.5,0.3
615,0.1,1,0.2
615,0,0,0
615,0,0,0
615,0,0,0
610,0,0,0
610,0,0,0
610,0,0,0
610,0,0,0
610,0,0,0
610,0.2,0,0.1
610,0.2,0.2,0.1
610,0.3,0,0.2
605,0.1,0,0
605,0.1,0.1,0.1
605,0.3,0.2,0.2
605,1.1,1.5,0.3
605,0.2,1.8,1.4
605,0.5,1.4,1.3
605,0.7,1.5,0.8
605,1.3,0.7,0.4
605,0.3,0.6,0.1
605,0.4,0.3,0.2
605,0.8,0.3,0.3
605,0.6,0.2,0.2
605,0.2,0.2,0
605,0.6,0.2,0.8
600,0.4,0.1,0.7
600,0.2,0,0.4
600,0.6,0,0.3
600,2.1,0.1,0.5
600,1.5,0.1,0.7
600,0.6,0.7,0.7
600,0.6,0.2,0.3
600,0.3,0.2,0.2
600,0.3,0.2,0.1
600,0.2,0.2,0.1
600,0.2,0.1,0.3
600,0.1,0.1,0.1
600,0.1,0,0
605,0,0,0
615,0,0,0
610,0,0,0
600,0.2,0,0
